x,y,01:17:C5:97:87:84,01:17:C5:97:E7:B3,01:17:C5:97:DE:E8,F0:AB:CE:31:10:B9,FA:C5:13:37:F5:09,D2:AC:7C:25:36:FA,F7:38:03:58:5F:67,01:17:C5:97:B5:70,01:17:C5:97:1B:44,01:17:C5:97:5B:1D,01:17:C5:97:44:BE,01:17:C5:97:58:C3,EC:7D:1E:28:F0:06,
-1387.911979675293,-748.5310020446777,-90,-90,-83,-100,-100,-100,-100,-89,-68,-72,-88,-100,-100,
-1387.911979675293,-748.5310020446777,-87,-88,-82,-100,-100,-100,-100,-84,-70,-70,-92,-89,-100,
-1387.911979675293,-748.5310020446777,-87,-88,-82,-100,-100,-100,-100,-84,-70,-70,-92,-89,-100,
-1387.911979675293,-748.5310020446777,-92,-89,-83,-100,-100,-100,-100,-80,-77,-70,-90,-100,-100,
-1387.911979675293,-748.5310020446777,-92,-92,-82,-100,-100,-100,-100,-84,-76,-72,-88,-95,-100,
-1387.911979675293,-748.5310020446777,-94,-89,-81,-100,-100,-100,-100,-87,-77,-78,-92,-100,-100,
-1387.911979675293,-748.5310020446777,-91,-88,-79,-100,-100,-100,-100,-81,-77,-79,-88,-100,-100,
-1387.911979675293,-748.5310020446777,-87,-84,-80,-100,-100,-100,-100,-83,-75,-71,-87,-92,-100,
-1387.911979675293,-748.5310020446777,-85,-90,-80,-100,-100,-100,-100,-76,-81,-71,-87,-90,-100,
-1387.911979675293,-748.5310020446777,-87,-87,-81,-100,-100,-100,-100,-77,-76,-72,-86,-94,-100,
-1407.411979675293,-756.5310020446777,-86,-87,-80,-100,-100,-100,-100,-76,-70,-75,-88,-100,-100,
-1407.411979675293,-756.5310020446777,-92,-88,-73,-100,-100,-100,-100,-86,-75,-74,-88,-92,-100,
-1407.411979675293,-756.5310020446777,-92,-88,-73,-100,-100,-100,-100,-86,-75,-74,-88,-92,-100,
-1407.411979675293,-756.5310020446777,-90,-88,-82,-100,-100,-100,-100,-84,-69,-76,-90,-94,-100,
-1407.411979675293,-756.5310020446777,-89,-86,-82,-100,-100,-100,-100,-82,-76,-75,-93,-93,-100,
-1407.411979675293,-756.5310020446777,-90,-87,-80,-100,-100,-100,-100,-80,-70,-75,-91,-92,-100,
-1407.411979675293,-756.5310020446777,-86,-86,-78,-100,-100,-100,-100,-78,-75,-77,-90,-94,-100,
-1407.411979675293,-756.5310020446777,-91,-85,-75,-100,-100,-100,-100,-81,-73,-77,-92,-100,-100,
-1407.411979675293,-756.5310020446777,-95,-88,-80,-100,-100,-100,-100,-80,-73,-79,-90,-100,-100,
-1407.411979675293,-756.5310020446777,-87,-85,-77,-100,-100,-100,-100,-80,-74,-79,-100,-100,-100,
-1410.411979675293,-742.0310020446777,-86,-90,-82,-100,-100,-100,-100,-81,-74,-78,-91,-88,-100,
-1410.411979675293,-742.0310020446777,-84,-100,-82,-100,-100,-100,-100,-79,-76,-73,-88,-87,-100,
-1410.411979675293,-742.0310020446777,-86,-91,-84,-100,-100,-100,-100,-80,-80,-69,-86,-88,-100,
-1410.411979675293,-742.0310020446777,-86,-89,-82,-100,-100,-100,-100,-81,-80,-67,-87,-91,-100,
-1410.411979675293,-742.0310020446777,-86,-89,-82,-100,-100,-100,-100,-81,-80,-67,-87,-91,-100,
-1410.411979675293,-742.0310020446777,-86,-92,-82,-100,-100,-100,-100,-82,-76,-72,-90,-91,-100,
-1410.411979675293,-742.0310020446777,-85,-90,-80,-100,-100,-100,-100,-87,-82,-72,-86,-91,-100,
-1410.411979675293,-742.0310020446777,-86,-93,-82,-100,-100,-100,-100,-89,-81,-82,-87,-100,-100,
-1410.411979675293,-742.0310020446777,-86,-92,-81,-100,-100,-100,-100,-84,-80,-74,-90,-92,-100,
-1410.411979675293,-742.0310020446777,-83,-93,-82,-100,-100,-100,-100,-82,-79,-70,-90,-92,-100,
-1485.161476135254,-146.9235076904297,-85,-94,-81,-100,-100,-100,-100,-77,-77,-67,-90,-100,-100,
-1485.161476135254,-146.9235076904297,-87,-92,-89,-100,-100,-100,-100,-77,-78,-71,-90,-94,-100,
-1485.161476135254,-146.9235076904297,-88,-94,-83,-100,-100,-100,-100,-77,-77,-73,-87,-100,-100,
-1485.161476135254,-146.9235076904297,-92,-93,-87,-100,-100,-100,-100,-78,-83,-75,-87,-100,-100,
-1485.161476135254,-146.9235076904297,-94,-92,-81,-100,-100,-100,-100,-79,-76,-74,-87,-95,-100,
-1485.161476135254,-146.9235076904297,-89,-93,-84,-100,-100,-100,-100,-77,-79,-79,-87,-100,-100,
-1485.161476135254,-146.9235076904297,-91,-96,-84,-100,-100,-100,-100,-87,-78,-73,-86,-100,-100,
-1485.161476135254,-146.9235076904297,-91,-96,-84,-100,-100,-100,-100,-87,-78,-73,-86,-100,-100,
-1485.161476135254,-146.9235076904297,-100,-92,-76,-100,-100,-100,-100,-77,-85,-75,-89,-100,-100,
-1485.161476135254,-146.9235076904297,-100,-87,-88,-100,-100,-100,-100,-80,-82,-73,-90,-100,-100,
-1508.661476135254,-159.9235076904297,-91,-89,-78,-100,-100,-100,-100,-78,-81,-78,-93,-90,-100,
-1508.661476135254,-159.9235076904297,-100,-92,-80,-100,-100,-100,-100,-82,-77,-69,-86,-96,-100,
-1508.661476135254,-159.9235076904297,-90,-90,-86,-100,-100,-100,-100,-86,-85,-73,-100,-91,-100,
-1508.661476135254,-159.9235076904297,-91,-92,-77,-100,-100,-100,-100,-85,-83,-70,-100,-100,-100,
-1508.661476135254,-159.9235076904297,-90,-90,-78,-100,-100,-100,-100,-86,-78,-67,-100,-93,-100,
-1508.661476135254,-159.9235076904297,-100,-89,-78,-100,-100,-100,-100,-85,-80,-69,-90,-94,-100,
-1508.661476135254,-159.9235076904297,-93,-90,-86,-100,-100,-100,-100,-86,-77,-69,-88,-93,-100,
-1508.661476135254,-159.9235076904297,-90,-88,-82,-100,-100,-100,-100,-87,-83,-74,-86,-92,-100,
-1508.661476135254,-159.9235076904297,-91,-86,-85,-100,-100,-100,-100,-83,-75,-75,-90,-92,-100,
-1508.661476135254,-159.9235076904297,-91,-86,-85,-100,-100,-100,-100,-83,-75,-75,-90,-92,-100,
-1507.661476135254,-137.4235076904297,-91,-92,-83,-100,-100,-100,-100,-86,-82,-65,-92,-92,-100,
-1507.661476135254,-137.4235076904297,-85,-92,-81,-100,-100,-100,-100,-75,-80,-69,-91,-100,-100,
-1507.661476135254,-137.4235076904297,-86,-100,-83,-100,-100,-100,-100,-82,-85,-70,-90,-86,-100,
-1507.661476135254,-137.4235076904297,-84,-100,-91,-100,-100,-100,-100,-88,-84,-76,-81,-89,-100,
-1507.661476135254,-137.4235076904297,-92,-91,-83,-100,-100,-100,-100,-77,-79,-73,-84,-88,-100,
-1507.661476135254,-137.4235076904297,-88,-90,-84,-100,-100,-100,-100,-80,-82,-74,-92,-88,-100,
-1507.661476135254,-137.4235076904297,-90,-90,-81,-100,-100,-100,-100,-81,-91,-75,-86,-87,-100,
-1507.661476135254,-137.4235076904297,-90,-90,-81,-100,-100,-100,-100,-81,-91,-75,-86,-87,-100,
-1507.661476135254,-137.4235076904297,-88,-94,-86,-100,-100,-100,-100,-81,-82,-78,-85,-100,-100,
-1507.661476135254,-137.4235076904297,-90,-93,-86,-100,-100,-100,-100,-87,-81,-73,-80,-92,-100,
-988.2080192565918,-747.0170059204102,-87,-83,-77,-100,-100,-100,-100,-86,-64,-67,-100,-88,-100,
-988.2080192565918,-747.0170059204102,-85,-83,-79,-100,-100,-100,-100,-78,-62,-68,-88,-86,-100,
-988.2080192565918,-747.0170059204102,-86,-90,-79,-100,-100,-100,-100,-79,-63,-80,-88,-90,-100,
-988.2080192565918,-747.0170059204102,-84,-82,-77,-100,-100,-100,-100,-81,-63,-77,-89,-89,-100,
-988.2080192565918,-747.0170059204102,-84,-80,-76,-100,-100,-100,-100,-78,-63,-77,-87,-91,-100,
-988.2080192565918,-747.0170059204102,-85,-81,-79,-100,-100,-100,-100,-78,-63,-79,-86,-88,-100,
-988.2080192565918,-747.0170059204102,-86,-80,-78,-100,-100,-100,-100,-78,-63,-73,-98,-91,-100,
-988.2080192565918,-747.0170059204102,-85,-82,-78,-100,-100,-100,-100,-80,-64,-68,-95,-90,-100,
-988.2080192565918,-747.0170059204102,-86,-81,-79,-100,-100,-100,-100,-80,-65,-70,-89,-90,-100,
-988.2080192565918,-747.0170059204102,-86,-81,-79,-100,-100,-100,-100,-80,-65,-70,-89,-90,-100,
-1009.7080192565918,-756.0170059204102,-86,-94,-74,-100,-100,-100,-100,-83,-66,-66,-86,-89,-100,
