x,y,EC:7D:1E:28:F0:06,F7:38:03:58:5F:67,FA:CF:CB:5D:0E:B8,01:17:C5:97:87:84,01:17:C5:97:B5:70,01:17:C5:97:1B:44,01:17:C5:97:E7:B3,01:17:C5:97:5B:1D,01:17:C5:97:58:C3,01:17:C5:97:44:BE,01:17:C5:97:DE:E8,F0:AB:CE:31:10:B9,
-608.0599975585938,-538.4600067138672,-94,-100,-68,-81,-81,-70,-75,-75,-82,-91,-76,-100,
-608.0599975585938,-538.4600067138672,-94,-100,-68,-81,-81,-70,-75,-75,-82,-91,-76,-100,
-608.0599975585938,-538.4600067138672,-94,-100,-68,-81,-81,-70,-75,-75,-82,-91,-76,-100,
-608.0599975585938,-538.4600067138672,-94,-100,-68,-81,-81,-70,-75,-75,-82,-91,-76,-100,
-608.0599975585938,-538.4600067138672,-94,-100,-68,-81,-81,-70,-75,-75,-82,-91,-76,-100,
-608.0599975585938,-538.4600067138672,-94,-100,-68,-81,-81,-70,-75,-75,-82,-91,-76,-100,
-608.0599975585938,-538.4600067138672,-94,-100,-68,-81,-81,-70,-75,-75,-82,-91,-76,-100,
-608.0599975585938,-538.4600067138672,-94,-100,-68,-81,-81,-70,-75,-75,-82,-91,-76,-100,
-608.0599975585938,-538.4600067138672,-94,-100,-68,-81,-81,-70,-75,-75,-82,-91,-76,-100,
-608.0599975585938,-538.4600067138672,-100,-100,-70,-80,-85,-65,-76,-76,-83,-89,-74,-100,
-608.0599975585938,-538.4600067138672,-100,-100,-70,-80,-85,-65,-76,-76,-83,-89,-74,-100,
-608.0599975585938,-538.4600067138672,-100,-100,-70,-80,-85,-65,-76,-76,-83,-89,-74,-100,
-608.0599975585938,-538.4600067138672,-100,-100,-70,-80,-85,-65,-76,-76,-83,-89,-74,-100,
-608.0599975585938,-538.4600067138672,-100,-100,-70,-80,-85,-65,-76,-76,-83,-89,-74,-100,
