x,y,01:17:C5:97:87:84,01:17:C5:97:1B:44,01:17:C5:97:44:BE,01:17:C5:97:DE:E8,EC:7D:1E:28:F0:06,F0:AB:CE:31:10:B9,01:17:C5:97:B5:70,01:17:C5:97:E7:B3,01:17:C5:97:5B:1D,01:17:C5:97:58:C3,FA:CF:CB:5D:0E:B8,F7:38:03:58:5F:67,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-86,-67,-92,-84,-100,-100,-77,-86,-70,-90,-72,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-80,-68,-92,-75,-100,-100,-88,-75,-76,-87,-70,-100,
-599.9110107421875,-550.8320007324219,-78,-68,-92,-79,-98,-100,-78,-76,-77,-94,-71,-100,
-599.9110107421875,-550.8320007324219,-78,-68,-92,-79,-98,-100,-78,-76,-77,-94,-71,-100,
-599.9110107421875,-550.8320007324219,-78,-68,-92,-79,-98,-100,-78,-76,-77,-94,-71,-100,
-599.9110107421875,-550.8320007324219,-78,-68,-92,-79,-98,-100,-78,-76,-77,-94,-71,-100,
-599.9110107421875,-550.8320007324219,-78,-68,-92,-79,-98,-100,-78,-76,-77,-94,-71,-100,
