x,y,01:17:C5:97:B5:70,01:17:C5:97:58:C3,EC:7D:1E:28:F0:06,01:17:C5:97:87:84,01:17:C5:97:1B:44,01:17:C5:97:E7:B3,01:17:C5:97:5B:1D,01:17:C5:97:44:BE,FA:CF:CB:5D:0E:B8,01:17:C5:97:DE:E8,
-598.9573125839233,-551.4068756103516,-83,-86,-100,-81,-66,-82,-75,-86,-72,-80,
-598.9573125839233,-551.4068756103516,-83,-86,-100,-81,-66,-82,-75,-86,-72,-80,
-598.9573125839233,-551.4068756103516,-83,-86,-100,-81,-66,-82,-75,-86,-72,-80,
-598.9573125839233,-551.4068756103516,-83,-86,-100,-81,-66,-82,-75,-86,-72,-80,
-598.9573125839233,-551.4068756103516,-83,-86,-100,-81,-66,-82,-75,-86,-72,-80,
-598.9573125839233,-551.4068756103516,-83,-86,-100,-81,-66,-82,-75,-86,-72,-80,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-87,-91,-81,-63,-77,-75,-88,-71,-78,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-84,-85,-100,-82,-66,-73,-76,-89,-73,-79,
-598.9573125839233,-551.4068756103516,-77,-85,-100,-81,-65,-73,-76,-89,-71,-79,
-598.9573125839233,-551.4068756103516,-77,-85,-100,-81,-65,-73,-76,-89,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-87,-100,-84,-64,-76,-74,-93,-70,-78,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-84,-89,-97,-84,-64,-77,-75,-88,-71,-79,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-596.8948125839233,-548.9693756103516,-78,-95,-100,-82,-66,-73,-74,-88,-70,-82,
-600.8948125839233,-549.2193756103516,-86,-87,-95,-80,-61,-78,-76,-96,-69,-79,
-600.8948125839233,-549.2193756103516,-86,-87,-95,-80,-61,-78,-76,-96,-69,-79,
-600.8948125839233,-549.2193756103516,-86,-87,-95,-80,-61,-78,-76,-96,-69,-79,
-600.8948125839233,-549.2193756103516,-86,-87,-95,-80,-61,-78,-76,-96,-69,-79,
-600.8948125839233,-549.2193756103516,-86,-87,-95,-80,-61,-78,-76,-96,-69,-79,
-600.8948125839233,-549.2193756103516,-86,-87,-95,-80,-61,-78,-76,-96,-69,-79,
-600.8948125839233,-549.2193756103516,-86,-87,-95,-80,-61,-78,-76,-96,-69,-79,
-600.8948125839233,-549.2193756103516,-86,-87,-95,-80,-61,-78,-76,-96,-69,-79,
-600.8948125839233,-549.2193756103516,-86,-87,-95,-80,-61,-78,-76,-96,-69,-79,
