x,y,01:17:C5:97:87:84,01:17:C5:97:E7:B3,FA:CF:CB:5D:0E:B8,EC:7D:1E:28:F0:06,F0:AB:CE:31:10:B9,01:17:C5:97:B5:70,01:17:C5:97:1B:44,01:17:C5:97:5B:1D,01:17:C5:97:44:BE,01:17:C5:97:58:C3,01:17:C5:97:DE:E8,D3:88:EE:6C:33:17,F7:38:03:58:5F:67,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-88,-77,-71,-91,-100,-87,-62,-77,-93,-89,-86,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-78,-80,-70,-92,-100,-88,-59,-71,-90,-86,-82,-100,-100,
-604.968994140625,-548.6670074462891,-76,-74,-70,-100,-100,-83,-61,-68,-88,-90,-79,-100,-100,
-596.9549865722656,-347.2704963684082,-76,-74,-70,-100,-100,-83,-61,-68,-88,-90,-79,-100,-100,
-596.9549865722656,-347.2704963684082,-76,-74,-70,-100,-100,-83,-61,-68,-88,-90,-79,-100,-100,
-596.9549865722656,-347.2704963684082,-76,-74,-70,-100,-100,-83,-61,-68,-88,-90,-79,-100,-100,
-596.9549865722656,-347.2704963684082,-76,-74,-70,-100,-100,-83,-61,-68,-88,-90,-79,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-85,-75,-70,-100,-100,-84,-62,-75,-91,-90,-78,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-81,-81,-72,-89,-100,-87,-62,-76,-87,-84,-81,-100,-100,
-596.9549865722656,-347.2704963684082,-86,-77,-72,-89,-100,-79,-63,-76,-88,-85,-75,-100,-100,
-596.9549865722656,-347.2704963684082,-86,-77,-72,-89,-100,-79,-63,-76,-88,-85,-75,-100,-100,
-596.9549865722656,-347.2704963684082,-86,-77,-72,-89,-100,-79,-63,-76,-88,-85,-75,-100,-100,
-596.9549865722656,-347.2704963684082,-86,-77,-72,-89,-100,-79,-63,-76,-88,-85,-75,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-84,-70,-88,-100,-82,-64,-75,-89,-83,-82,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-83,-80,-66,-90,-100,-82,-71,-72,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-82,-78,-66,-90,-100,-82,-69,-74,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-82,-78,-66,-90,-100,-82,-69,-74,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-82,-78,-66,-90,-100,-82,-69,-74,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-82,-78,-66,-90,-100,-82,-69,-74,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-82,-78,-66,-90,-100,-82,-69,-74,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-82,-78,-66,-90,-100,-82,-69,-74,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-82,-78,-66,-90,-100,-82,-69,-74,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-82,-78,-66,-90,-100,-82,-69,-74,-87,-88,-84,-100,-100,
-602.8204956054688,-151.67949676513672,-82,-78,-66,-90,-100,-82,-69,-74,-87,-88,-84,-100,-100,
-596.8135070800781,47.17499923706055,-82,-79,-66,-90,-94,-82,-70,-74,-87,-88,-84,-100,-100,
-596.8135070800781,47.17499923706055,-82,-79,-66,-90,-94,-82,-70,-74,-87,-88,-84,-100,-100,
-596.8135070800781,47.17499923706055,-82,-79,-66,-90,-94,-82,-70,-74,-87,-88,-84,-100,-100,
-596.8135070800781,47.17499923706055,-82,-79,-66,-90,-94,-82,-70,-74,-87,-88,-84,-100,-100,
-596.8135070800781,47.17499923706055,-82,-79,-66,-90,-94,-82,-70,-74,-87,-88,-84,-100,-100,
-596.8135070800781,47.17499923706055,-82,-79,-66,-90,-94,-82,-70,-74,-87,-88,-84,-100,-100,
-596.8135070800781,47.17499923706055,-82,-79,-66,-90,-94,-82,-70,-74,-87,-88,-84,-100,-100,
-596.8135070800781,47.17499923706055,-76,-81,-70,-100,-100,-78,-78,-76,-86,-86,-80,-100,-100,
-596.8135070800781,47.17499923706055,-76,-81,-70,-100,-100,-78,-78,-76,-86,-86,-80,-100,-100,
-596.8135070800781,47.17499923706055,-76,-81,-70,-100,-100,-78,-78,-76,-86,-86,-80,-100,-100,
-596.8135070800781,47.17499923706055,-76,-81,-70,-100,-100,-78,-78,-76,-86,-86,-80,-100,-100,
-596.8135070800781,47.17499923706055,-76,-81,-70,-100,-100,-78,-78,-76,-86,-86,-80,-100,-100,
-596.8135070800781,47.17499923706055,-76,-81,-70,-100,-100,-78,-78,-76,-86,-86,-80,-100,-100,
-596.8135070800781,47.17499923706055,-76,-81,-70,-100,-100,-78,-78,-76,-86,-86,-80,-100,-100,
-596.8135070800781,47.17499923706055,-76,-81,-70,-100,-100,-78,-78,-76,-86,-86,-80,-100,-100,
