x,y,01:17:C5:97:87:84,01:17:C5:97:44:BE,EE:FA:1C:0E:68:BF,FA:CF:CB:5D:0E:B8,CD:35:23:69:6B:69,FA:C5:13:37:F5:09,F3:B5:8A:4C:AA:CB,E5:6B:13:8B:A7:CD,CB:16:FA:98:34:D7,01:17:C5:38:7C:55,D2:AC:7C:25:36:FA,D3:88:EE:6C:33:17,01:17:C5:97:B5:70,01:17:C5:97:E7:B3,01:17:C5:97:5B:1D,01:17:C5:97:DE:E8,01:17:C5:38:88:EB,01:17:C5:38:82:CB,F0:AB:CE:31:10:B9,01:17:C5:97:1B:44,01:17:C5:97:58:C3,EC:7D:1E:28:F0:06,
-1500,-800,-91,-82,-90,-100,-100,-100,-100,-100,-70,-100,-100,-100,-81,-92,-67,-84,-100,-100,-100,-75,-97,-100,
-1500,-800,-91,-84,-77,-100,-100,-100,-100,-100,-75,-100,-100,-100,-78,-92,-67,-80,-100,-100,-100,-70,-93,-100,
-1500,-800,-91,-84,-77,-100,-100,-100,-100,-100,-75,-100,-100,-100,-78,-92,-67,-80,-100,-100,-100,-70,-93,-100,
-1500,-800,-91,-90,-86,-100,-100,-100,-100,-100,-67,-100,-100,-100,-76,-100,-66,-85,-100,-100,-100,-78,-92,-100,
-1500,-800,-91,-89,-75,-77,-100,-100,-100,-100,-100,-100,-100,-100,-76,-93,-64,-84,-99,-100,-100,-68,-88,-100,
-1500,-800,-90,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-87,-63,-86,-100,-100,-100,-72,-95,-100,
-1500,-800,-90,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-87,-63,-86,-100,-100,-100,-72,-95,-100,
-1500,-800,-85,-85,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-78,-89,-67,-79,-100,-100,-100,-77,-91,-100,
-1500,-800,-85,-87,-86,-100,-100,-100,-100,-100,-65,-100,-100,-100,-79,-89,-64,-80,-100,-100,-100,-79,-93,-100,
-1500,-800,-86,-84,-76,-100,-100,-100,-100,-100,-66,-100,-100,-100,-79,-89,-67,-73,-96,-100,-100,-70,-90,-100,
-1500,-800,-87,-87,-77,-74,-71,-100,-100,-100,-74,-100,-100,-100,-78,-90,-67,-75,-100,-100,-100,-76,-95,-100,
-1500,-800,-87,-87,-77,-74,-71,-100,-100,-100,-74,-100,-100,-100,-78,-90,-67,-75,-100,-100,-100,-76,-95,-100,
-1500,-800,-90,-87,-73,-100,-66,-100,-100,-100,-100,-100,-100,-100,-75,-89,-72,-73,-100,-100,-100,-74,-89,-100,
-1500,-800,-90,-89,-100,-66,-100,-100,-100,-100,-75,-100,-100,-100,-92,-92,-75,-77,-100,-100,-100,-76,-94,-100,
-1500,-800,-92,-87,-77,-100,-75,-100,-100,-100,-100,-100,-100,-100,-74,-91,-73,-78,-100,-100,-100,-73,-86,-100,
-1500,-800,-88,-88,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-73,-91,-75,-82,-100,-100,-100,-72,-87,-100,
-1500,-800,-88,-88,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-73,-91,-75,-82,-100,-100,-100,-72,-87,-100,
-1500,-800,-87,-87,-100,-69,-100,-100,-100,-100,-74,-100,-100,-100,-76,-88,-72,-84,-100,-100,-100,-74,-97,-100,
-1500,-800,-86,-87,-82,-74,-70,-100,-100,-100,-100,-100,-100,-100,-72,-94,-74,-81,-100,-100,-100,-72,-93,-100,
-1500,-800,-90,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-74,-93,-70,-83,-100,-100,-100,-71,-92,-100,
-1500,-800,-85,-88,-74,-100,-62,-100,-100,-100,-57,-100,-100,-100,-78,-86,-69,-75,-100,-100,-100,-69,-93,-100,
-1500,-800,-79,-83,-100,-60,-57,-100,-100,-100,-60,-100,-100,-100,-80,-83,-63,-74,-93,-100,-100,-82,-93,-100,
-1500,-800,-81,-81,-100,-65,-70,-100,-100,-100,-100,-100,-100,-100,-84,-85,-62,-81,-100,-100,-100,-71,-88,-100,
-1500,-800,-81,-81,-100,-65,-70,-100,-100,-100,-100,-100,-100,-100,-84,-85,-62,-81,-100,-100,-100,-71,-88,-100,
-1500,-800,-81,-83,-77,-100,-100,-100,-100,-100,-64,-100,-100,-100,-80,-87,-68,-79,-95,-100,-100,-70,-88,-100,
-1500,-800,-81,-82,-100,-100,-67,-100,-100,-100,-64,-100,-100,-100,-77,-85,-65,-78,-100,-100,-100,-76,-91,-100,
-1500,-800,-80,-83,-82,-100,-100,-100,-100,-100,-62,-100,-100,-100,-81,-87,-69,-83,-94,-100,-100,-71,-88,-100,
-1500,-800,-81,-85,-74,-63,-100,-100,-100,-100,-66,-100,-100,-100,-87,-84,-66,-80,-98,-100,-100,-73,-88,-100,
-1500,-800,-81,-85,-74,-63,-100,-100,-100,-100,-66,-100,-100,-100,-87,-84,-66,-80,-98,-100,-100,-73,-88,-100,
-1500,-800,-81,-81,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-79,-83,-68,-80,-100,-100,-100,-73,-90,-100,
-1500,-150,-83,-93,-100,-100,-61,-100,-100,-100,-63,-100,-100,-100,-82,-85,-61,-78,-100,-100,-100,-71,-89,-100,
-1500,-150,-81,-84,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-78,-90,-64,-82,-100,-100,-100,-78,-91,-100,
-1500,-150,-82,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-87,-64,-87,-94,-100,-100,-74,-91,-100,
-1500,-150,-81,-82,-66,-55,-62,-100,-100,-100,-100,-100,-100,-100,-77,-88,-62,-77,-100,-100,-100,-71,-87,-100,
-1500,-150,-81,-82,-66,-55,-62,-100,-100,-100,-100,-100,-100,-100,-77,-88,-62,-77,-100,-100,-100,-71,-87,-100,
-1500,-150,-87,-100,-66,-66,-60,-100,-100,-100,-54,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-69,-91,-100,
-1500,-150,-80,-81,-64,-70,-100,-100,-100,-100,-54,-100,-100,-100,-71,-85,-62,-77,-100,-100,-100,-77,-91,-100,
-1500,-150,-80,-81,-64,-70,-100,-100,-100,-100,-54,-100,-100,-100,-71,-85,-62,-77,-100,-100,-100,-77,-91,-100,
-1500,-150,-83,-82,-68,-60,-100,-100,-100,-100,-54,-100,-100,-100,-70,-87,-62,-77,-100,-100,-100,-81,-89,-100,
-1500,-150,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-93,-62,-77,-100,-100,-100,-73,-93,-100,
-1500,-150,-85,-84,-75,-100,-78,-100,-100,-100,-100,-100,-100,-100,-76,-89,-66,-77,-100,-100,-100,-72,-89,-100,
-1500,-150,-85,-86,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-76,-91,-68,-81,-100,-100,-100,-70,-100,-100,
-1500,-150,-85,-86,-68,-100,-68,-100,-100,-100,-73,-100,-100,-100,-78,-88,-66,-82,-100,-100,-100,-75,-87,-100,
-1500,-150,-86,-85,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-92,-64,-78,-100,-100,-100,-73,-93,-100,
-1500,-150,-86,-85,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-92,-64,-78,-100,-100,-100,-73,-93,-100,
-1500,-150,-84,-86,-70,-66,-71,-100,-100,-100,-100,-100,-100,-100,-77,-91,-62,-81,-100,-100,-100,-74,-96,-100,
-1500,-150,-83,-88,-72,-100,-69,-100,-100,-100,-100,-100,-100,-100,-76,-91,-62,-79,-100,-100,-100,-75,-90,-100,
-1500,-150,-82,-85,-71,-100,-72,-100,-100,-100,-80,-100,-100,-100,-75,-100,-61,-79,-100,-100,-100,-73,-87,-100,
-1500,-150,-82,-89,-100,-84,-68,-100,-100,-100,-100,-100,-100,-100,-75,-90,-61,-80,-100,-100,-100,-76,-88,-100,
-1500,-150,-84,-88,-100,-100,-73,-100,-100,-100,-75,-100,-100,-100,-76,-91,-59,-78,-100,-100,-100,-77,-100,-100,
-1500,-150,-81,-82,-70,-70,-68,-100,-100,-100,-77,-100,-100,-100,-78,-94,-61,-79,-100,-100,-100,-78,-87,-100,
-1500,-150,-87,-92,-74,-67,-68,-100,-100,-100,-62,-100,-100,-100,-75,-95,-69,-82,-100,-100,-100,-70,-93,-100,
-1500,-150,-86,-88,-72,-61,-100,-100,-100,-100,-65,-100,-100,-100,-81,-86,-62,-81,-100,-100,-100,-73,-95,-100,
-1500,-150,-86,-87,-72,-100,-64,-100,-100,-100,-65,-97,-100,-100,-74,-93,-68,-79,-99,-100,-100,-68,-92,-100,
-1500,-150,-84,-86,-100,-100,-70,-100,-100,-100,-64,-97,-100,-100,-74,-100,-67,-85,-96,-100,-100,-69,-93,-100,
-1500,-150,-84,-86,-100,-100,-70,-100,-100,-100,-64,-97,-100,-100,-74,-100,-67,-85,-96,-100,-100,-69,-93,-100,
